Year	Lowest	Second	Third	Fourth	Fifth
2018	35,864	63,023	96,340	150,117	279,240
2017	33,551	60,032	92,358	145,380	261,508
2016	32,400	57,944	89,769	139,568	251,183
2015	30,311	55,376	86,310	133,525	239,188
2014	29,100	52,697	82,032	129,006	230,030
2013	28,894	50,520	78,000	121,059	217,032
2012	27,794	49,788	76,538	119,001	210,000
2011	27,218	48,502	75,000	115,866	205,200
2010	26,520	48,000	74,000	113,440	200,200
2009	26,934	47,914	73,338	112,540	200,000
2008	27,800	49,325	75,000	113,205	200,000
2007	27,864	49,510	75,000	112,638	197,216
2006	27,000	47,000	71,200	109,150	191,060
2005	25,616	45,021	68,304	103,100	184,500
2004	24,772	43,400	65,818	100,000	173,640
2003	24,117	42,057	65,000	98,200	170,082
2002	24,000	41,440	63,000	94,469	164,323
2001	24,000	41,127	62,500	94,150	164,104
2000	24,000	40,840	61,325	91,374	160,120
1999	22,796	39,492	59,270	88,033	155,020
1998	21,600	37,692	56,020	83,693	145,199
1997	20,586	36,000	53,616	80,000	137,080
1996	19,680	34,315	51,086	75,316	128,000
1995	19,070	32,985	48,985	72,260	123,656
1994	17,940	31,300	47,000	69,998	120,043
1993	16,970	30,000	45,030	66,794	113,182
1992	16,713	29,674	44,000	64,050	106,012
1991	17,000	29,111	43,000	62,991	102,824
1990	16,846	29,044	42,040	61,490	102,358
1989	16,003	28,000	40,800	59,550	98,963
1988	15,102	26,182	38,500	55,906	92,001
1987	14,598	25,182	36,801	53,330	86,949
1986	14,000	24,100	35,120	50,570	83,400
1985	13,285	22,886	33,152	48,229	78,965
1984	12,575	21,874	31,684	45,563	74,600
1983	11,835	20,271	29,475	42,147	69,363
1982	11,399	19,522	27,950	40,102	65,313
1981	11,015	18,750	26,758	37,800	59,992
1980	10,400	17,510	24,800	34,800	55,000
1979	9,861	16,215	22,972	31,632	50,746
1978	8,808	14,800	20,720	28,800	45,660
1977	8,000	13,397	18,940	26,096	41,350
1976	7,505	12,499	17,386	24,012	37,740
1975	6,987	11,505	16,000	22,153	34,700
1974	6,707	10,958	15,078	20,828	32,714
1973	6,081	10,034	14,000	19,253	30,015
1972	5,612	9,300	12,855	17,760	27,836
1971	5,211	8,628	11,826	16,218	25,325
1970	5,100	8,320	11,299	15,531	24,250
1969	5,000	8,000	10,800	14,751	22,703
1968	4,544	7,300	9,960	13,400	20,590
1967	4,109	6,745	9,045	12,400	19,924
1966	3,935	6,398	8,563	11,640	18,000
1965	3,500	5,863	7,910	10,800	16,695
1964	3,250	5,500	7,500	10,201	15,788
1963	3,096	5,200	7,134	9,969	15,144
1962	3,000	5,000	6,800	9,500	14,900
1961	2,800	4,820	6,560	9,035	14,600
1960	2,784	4,800	6,364	8,800	13,536
1959	2,677	4,565	6,081	8,380	12,800
1958	2,530	4,291	5,720	7,800	12,000
1957	2,488	4,234	5,594	7,505	11,494
1956	2,438	4,103	5,443	7,380	11,438
1955	2,221	3,780	5,082	6,883	10,605
1954	2,012	3,539	4,791	6,564	10,402
1953	2,139	3,630	4,871	6,560	10,202
1952	2,053	3,321	4,493	6,077	9,455
1951	1,953	3,184	4,212	5,751	9,013
1950	1,661	2,856	3,801	5,283	8,615
1949	1,543	2,636	3,556	5,025	8,066
1948	1,655	2,721	3,633	5,068	8,253
1947	1,584	2,556	3,466	4,918	8,072
